AccidentDate,State,Accident_Count
2019-01-01,AL,19
2019-01-01,AR,0
2019-01-01,AZ,28
2019-01-01,CA,195
2019-01-01,CO,24
2019-01-01,CT,6
2019-01-01,DC,1
2019-01-01,DE,1
2019-01-01,FL,63
2019-01-01,GA,37
2019-01-01,IA,6
2019-01-01,IL,24
2019-01-01,IN,2
2019-01-01,KS,0
2019-01-01,KY,1
2019-01-01,LA,21
2019-01-01,MA,1
2019-01-01,MD,25
2019-01-01,MI,36
2019-01-01,MN,39
2019-01-01,MO,4
2019-01-01,NC,48
2019-01-01,NH,5
2019-01-01,NJ,27
2019-01-01,NM,5
2019-01-01,NV,3
2019-01-01,NY,41
2019-01-01,OH,14
2019-01-01,OK,27
2019-01-01,OR,88
2019-01-01,PA,18
2019-01-01,RI,2
2019-01-01,SC,87
2019-01-01,TN,5
2019-01-01,TX,109
2019-01-01,UT,34
2019-01-01,VA,54
2019-01-01,WA,25
2019-01-01,WI,12
2019-01-02,AL,61
2019-01-02,AR,3
2019-01-02,AZ,70
2019-01-02,CA,316
2019-01-02,CO,87
2019-01-02,CT,20
2019-01-02,DC,3
2019-01-02,DE,2
2019-01-02,FL,170
2019-01-02,GA,81
2019-01-02,IA,13
2019-01-02,ID,2
2019-01-02,IL,56
2019-01-02,IN,17
2019-01-02,KS,1
2019-01-02,KY,6
2019-01-02,LA,57
2019-01-02,MA,27
2019-01-02,MD,33
2019-01-02,MI,62
2019-01-02,MN,82
2019-01-02,MO,15
2019-01-02,MS,10
2019-01-02,NC,131
2019-01-02,NE,19
2019-01-02,NH,5
2019-01-02,NJ,43
2019-01-02,NM,11
2019-01-02,NV,7
2019-01-02,NY,93
2019-01-02,OH,39
2019-01-02,OK,100
2019-01-02,OR,108
2019-01-02,PA,56
2019-01-02,RI,15
2019-01-02,SC,189
2019-01-02,TN,47
2019-01-02,TX,323
2019-01-02,UT,44
2019-01-02,VA,72
2019-01-02,WA,45
2019-01-02,WI,20
2019-01-02,WV,2
2019-01-02,WY,2
2019-01-03,AL,68
2019-01-03,AR,2
2019-01-03,AZ,75
2019-01-03,CA,371
2019-01-03,CO,72
2019-01-03,CT,10
2019-01-03,DC,6
2019-01-03,DE,1
2019-01-03,FL,176
2019-01-03,GA,99
2019-01-03,IA,8
2019-01-03,ID,2
2019-01-03,IL,69
2019-01-03,IN,29
2019-01-03,KS,7
2019-01-03,KY,7
2019-01-03,LA,75
2019-01-03,MA,28
2019-01-03,MD,26
2019-01-03,ME,3
2019-01-03,MI,56
2019-01-03,MN,62
2019-01-03,MO,27
2019-01-03,MS,18
2019-01-03,MT,1
2019-01-03,NC,186
2019-01-03,NE,16
2019-01-03,NH,23
2019-01-03,NJ,40
2019-01-03,NM,3
2019-01-03,NV,10
2019-01-03,NY,124
2019-01-03,OH,64
2019-01-03,OK,73
2019-01-03,OR,112
2019-01-03,PA,71
2019-01-03,RI,8
2019-01-03,SC,166
2019-01-03,TN,61
2019-01-03,TX,297
2019-01-03,UT,64
2019-01-03,VA,106
2019-01-03,WA,65
2019-01-03,WI,33
2019-01-03,WV,5
2019-01-04,AL,70
2019-01-04,AR,1
2019-01-04,AZ,80
2019-01-04,CA,410
2019-01-04,CO,62
2019-01-04,CT,29
2019-01-04,DC,1
2019-01-04,DE,7
2019-01-04,FL,230
2019-01-04,GA,143
2019-01-04,IA,4
2019-01-04,ID,1
2019-01-04,IL,50
2019-01-04,IN,10
2019-01-04,KS,0
2019-01-04,KY,19
2019-01-04,LA,62
2019-01-04,MA,38
2019-01-04,MD,35
2019-01-04,ME,3
2019-01-04,MI,77
2019-01-04,MN,78
2019-01-04,MO,17
2019-01-04,MS,12
2019-01-04,MT,1
2019-01-04,NC,229
2019-01-04,NE,15
2019-01-04,NH,4
2019-01-04,NJ,19
2019-01-04,NM,7
2019-01-04,NV,19
2019-01-04,NY,90
2019-01-04,OH,65
2019-01-04,OK,112
2019-01-04,OR,120
2019-01-04,PA,56
2019-01-04,RI,11
2019-01-04,SC,212
2019-01-04,TN,78
2019-01-04,TX,265
2019-01-04,UT,55
2019-01-04,VA,112
2019-01-04,VT,3
2019-01-04,WA,51
2019-01-04,WI,24
2019-01-04,WV,2
2019-01-04,WY,1
2019-01-05,AL,23
2019-01-05,AR,4
2019-01-05,AZ,25
2019-01-05,CA,334
2019-01-05,CO,23
2019-01-05,CT,6
2019-01-05,DE,2
2019-01-05,FL,63
2019-01-05,GA,31
2019-01-05,IA,7
2019-01-05,IL,10
2019-01-05,IN,3
2019-01-05,KS,1
2019-01-05,KY,5
2019-01-05,LA,16
2019-01-05,MA,3
2019-01-05,MD,21
2019-01-05,MI,12
2019-01-05,MN,23
2019-01-05,MO,6
2019-01-05,NC,36
2019-01-05,NE,4
2019-01-05,NH,4
2019-01-05,NJ,29
2019-01-05,NM,2
2019-01-05,NV,2
2019-01-05,NY,34
2019-01-05,OH,13
2019-01-05,OK,9
2019-01-05,OR,90
2019-01-05,PA,23
2019-01-05,RI,6
2019-01-05,SC,46
2019-01-05,TN,14
2019-01-05,TX,38
2019-01-05,UT,40
2019-01-05,VA,35
2019-01-05,WA,25
2019-01-05,WI,9
2019-01-05,WV,1
2019-01-06,AL,13
2019-01-06,AR,1
2019-01-06,AZ,20
2019-01-06,CA,401
2019-01-06,CO,4
2019-01-06,CT,8
2019-01-06,DC,1
2019-01-06,FL,56
2019-01-06,GA,29
2019-01-06,IA,2
2019-01-06,ID,1
2019-01-06,IL,14
2019-01-06,IN,2
2019-01-06,KS,0
2019-01-06,KY,6
2019-01-06,LA,11
2019-01-06,MA,9
2019-01-06,MD,25
2019-01-06,MI,9
2019-01-06,MN,23
2019-01-06,MO,10
2019-01-06,MT,2
2019-01-06,NC,35
2019-01-06,NH,1
2019-01-06,NJ,6
2019-01-06,NM,4
2019-01-06,NV,3
2019-01-06,NY,39
2019-01-06,OH,13
2019-01-06,OK,8
2019-01-06,OR,145
2019-01-06,PA,23
2019-01-06,RI,10
2019-01-06,SC,101
2019-01-06,TN,14
